configurations scored on dev in this sweep: 18
B_logreg_C0.03_fixed:0.35      nfeat=24 mcc=0.636 auc=0.895 brier=0.1161 B1=0.611 folds={'2012': 0.506, '2013': 0.461, '2014': 0.816} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
A_split_C0.03_fixed:0.35       nfeat=15 mcc=0.624 auc=0.896 brier=0.1199 B1=0.611 folds={'2012': 0.507, '2013': 0.431, '2014': 0.816} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
B_split_C0.03_fixed:0.35       nfeat=24 mcc=0.621 auc=0.892 brier=0.1214 B1=0.611 folds={'2012': 0.476, '2013': 0.449, '2014': 0.818} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
B_split_C0.1_fixed:0.35        nfeat=24 mcc=0.558 auc=0.880 brier=0.1294 B1=0.611 folds={'2012': 0.342, '2013': 0.43, '2014': 0.769} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
A_hgbmono_fixed:0.35           nfeat=15 mcc=0.603 auc=0.881 brier=0.1276 B1=0.611 folds={'2012': 0.441, '2013': 0.478, '2014': 0.829} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
A_ens_C0.03_fixed:0.35         nfeat=15 mcc=0.618 auc=0.891 brier=0.1212 B1=0.611 folds={'2012': 0.489, '2013': 0.455, '2014': 0.812} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
B_hgbmono_fixed:0.35           nfeat=24 mcc=0.569 auc=0.877 brier=0.1265 B1=0.611 folds={'2012': 0.312, '2013': 0.472, '2014': 0.829} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
B_ens_C0.03_fixed:0.35         nfeat=24 mcc=0.634 auc=0.890 brier=0.1192 B1=0.611 folds={'2012': 0.51, '2013': 0.469, '2014': 0.823} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
B_logreg_C0.03_fixed:0.4       nfeat=24 mcc=0.630 auc=0.895 brier=0.1161 B1=0.611 folds={'2012': 0.489, '2013': 0.463, '2014': 0.81} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
A_split_C0.03_fixed:0.4        nfeat=15 mcc=0.597 auc=0.896 brier=0.1199 B1=0.611 folds={'2012': 0.412, '2013': 0.43, '2014': 0.816} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
B_split_C0.03_fixed:0.4        nfeat=24 mcc=0.601 auc=0.892 brier=0.1214 B1=0.611 folds={'2012': 0.426, '2013': 0.455, '2014': 0.793} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
B_split_C0.1_fixed:0.4         nfeat=24 mcc=0.554 auc=0.880 brier=0.1294 B1=0.611 folds={'2012': 0.27, '2013': 0.465, '2014': 0.77} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
A_hgbmono_fixed:0.4            nfeat=15 mcc=0.583 auc=0.881 brier=0.1276 B1=0.611 folds={'2012': 0.391, '2013': 0.491, '2014': 0.783} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
A_ens_C0.03_fixed:0.4          nfeat=15 mcc=0.611 auc=0.891 brier=0.1212 B1=0.611 folds={'2012': 0.475, '2013': 0.455, '2014': 0.796} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
B_hgbmono_fixed:0.4            nfeat=24 mcc=0.531 auc=0.877 brier=0.1265 B1=0.611 folds={'2012': 0.227, '2013': 0.464, '2014': 0.793} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
B_ens_C0.03_fixed:0.4          nfeat=24 mcc=0.615 auc=0.890 brier=0.1192 B1=0.611 folds={'2012': 0.465, '2013': 0.449, '2014': 0.81} thr={'2012': 0.4, '2013': 0.4, '2014': 0.4}
B_logreg_C0.03_mccrange        nfeat=24 mcc=0.645 auc=0.895 brier=0.1161 B1=0.611 folds={'2012': 0.531, '2013': 0.455, '2014': 0.823} thr={'2012': 0.34, '2013': 0.34, '2014': 0.34}
B_ens_C0.03_mccrange           nfeat=24 mcc=0.624 auc=0.890 brier=0.1192 B1=0.611 folds={'2012': 0.481, '2013': 0.479, '2014': 0.816} thr={'2012': 0.32, '2013': 0.38, '2014': 0.38}
