configurations scored on dev in this sweep: 11
C_logreg_C0.03_fixed:0.35          nfeat=20 mcc=0.635 auc=0.897 brier=0.1146 B1=0.611 folds={'2012': 0.511, '2013': 0.461, '2014': 0.81} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
C_logreg_C0.03_mccrange            nfeat=20 mcc=0.622 auc=0.897 brier=0.1146 B1=0.611 folds={'2012': 0.498, '2013': 0.456, '2014': 0.793} thr={'2012': 0.32, '2013': 0.39, '2014': 0.41}
C_logreg_C0.01_fixed:0.35          nfeat=20 mcc=0.634 auc=0.896 brier=0.1149 B1=0.611 folds={'2012': 0.517, '2013': 0.455, '2014': 0.804} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
C_logreg_C0.01_mccrange            nfeat=20 mcc=0.621 auc=0.896 brier=0.1149 B1=0.611 folds={'2012': 0.495, '2013': 0.455, '2014': 0.792} thr={'2012': 0.31, '2013': 0.35, '2014': 0.36}
C_logreg_C0.03_fixed:0.3           nfeat=20 mcc=0.639 auc=0.897 brier=0.1146 B1=0.611 folds={'2012': 0.534, '2013': 0.443, '2014': 0.823} thr={'2012': 0.3, '2013': 0.3, '2014': 0.3}
B_logreg_C0.03_fixed:0.3           nfeat=24 mcc=0.630 auc=0.895 brier=0.1161 B1=0.611 folds={'2012': 0.525, '2013': 0.426, '2014': 0.818} thr={'2012': 0.3, '2013': 0.3, '2014': 0.3}
B+FS+FSI_logreg_C0.03_fixed:0.35   nfeat=37 mcc=0.653 auc=0.891 brier=0.1178 B1=0.611 folds={'2012': 0.534, '2013': 0.463, '2014': 0.828} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
B+FS+FSI_logreg_C0.03_mccrange     nfeat=37 mcc=0.640 auc=0.891 brier=0.1178 B1=0.611 folds={'2012': 0.55, '2013': 0.431, '2014': 0.822} thr={'2012': 0.3, '2013': 0.3, '2014': 0.38}
C+FS+FSI_logreg_C0.03_fixed:0.35   nfeat=33 mcc=0.649 auc=0.893 brier=0.1162 B1=0.611 folds={'2012': 0.546, '2013': 0.456, '2014': 0.816} thr={'2012': 0.35, '2013': 0.35, '2014': 0.35}
C+FS+FSI_logreg_C0.03_mccrange     nfeat=33 mcc=0.642 auc=0.893 brier=0.1162 B1=0.611 folds={'2012': 0.529, '2013': 0.443, '2014': 0.822} thr={'2012': 0.4, '2013': 0.34, '2014': 0.38}
e007set_logreg_C0.03_mccrange      nfeat=28 mcc=0.652 auc=0.891 brier=0.1196 B1=0.611 folds={'2012': 0.534, '2013': 0.497, '2014': 0.811} thr={'2012': 0.34, '2013': 0.35, '2014': 0.35}
