# Goal C configurations scored on dev: 60
S0 alone: auc=0.7087 brier=0.2342 mcc=0.318 folds={'2012': 0.0, '2013': 0.469, '2014': 0.294, '2015': 0.493, '2016': 0.3}
cd_seas_3                dAUC=+0.0069 dBrier=+0.0016 auc=0.7155 mcc=0.323 folds={'2012': 0.0, '2013': 0.482, '2014': 0.302, '2015': 0.494, '2016': 0.32}
cd_seas_14               dAUC=+0.0043 dBrier=+0.0070 auc=0.7129 mcc=0.313 folds={'2012': 0.0, '2013': 0.507, '2014': 0.336, '2015': 0.481, '2016': 0.292}
doy_sin2                 dAUC=+0.0032 dBrier=+0.0026 auc=0.7118 mcc=0.333 folds={'2012': 0.0, '2013': 0.497, '2014': 0.296, '2015': 0.494, '2016': 0.328}
cd_upw_30_anom           dAUC=+0.0025 dBrier=+0.0013 auc=0.7112 mcc=0.318 folds={'2012': 0.0, '2013': 0.475, '2014': 0.318, '2015': 0.481, '2016': 0.282}
doy_cos2                 dAUC=+0.0022 dBrier=-0.0007 auc=0.7109 mcc=0.315 folds={'2012': 0.0, '2013': 0.488, '2014': 0.293, '2015': 0.485, '2016': 0.296}
cd_sws_90_anom           dAUC=+0.0019 dBrier=-0.0103 auc=0.7106 mcc=0.307 folds={'2012': 0.389, '2013': 0.16, '2014': 0.223, '2015': 0.422, '2016': -0.048}
cd_upw_14_anom           dAUC=+0.0019 dBrier=+0.0012 auc=0.7105 mcc=0.319 folds={'2012': 0.0, '2013': 0.471, '2014': 0.298, '2015': 0.477, '2016': 0.307}
cd_swell_south_3         dAUC=+0.0011 dBrier=+0.0006 auc=0.7098 mcc=0.317 folds={'2012': 0.0, '2013': 0.436, '2014': 0.326, '2015': 0.489, '2016': 0.289}
mf_wind_south            dAUC=+0.0007 dBrier=-0.0002 auc=0.7094 mcc=0.322 folds={'2012': 0.0, '2013': 0.487, '2014': 0.287, '2015': 0.509, '2016': 0.293}
cd_swell_3               dAUC=+0.0007 dBrier=+0.0020 auc=0.7093 mcc=0.318 folds={'2012': 0.0, '2013': 0.425, '2014': 0.312, '2015': 0.489, '2016': 0.296}
cd_wind_3                dAUC=+0.0006 dBrier=+0.0001 auc=0.7093 mcc=0.317 folds={'2012': 0.0, '2013': 0.484, '2014': 0.283, '2015': 0.505, '2016': 0.286}
cd_wind_7                dAUC=+0.0005 dBrier=+0.0004 auc=0.7092 mcc=0.315 folds={'2012': 0.0, '2013': 0.481, '2014': 0.262, '2015': 0.509, '2016': 0.31}
mf_wind_offshore         dAUC=+0.0004 dBrier=+0.0003 auc=0.7090 mcc=0.317 folds={'2012': 0.0, '2013': 0.465, '2014': 0.272, '2015': 0.502, '2016': 0.3}
cd_wind_offshore_3       dAUC=+0.0002 dBrier=-0.0001 auc=0.7089 mcc=0.321 folds={'2012': 0.0, '2013': 0.472, '2014': 0.293, '2015': 0.489, '2016': 0.3}
cd_upw_14                dAUC=+0.0001 dBrier=+0.0006 auc=0.7087 mcc=0.322 folds={'2012': 0.0, '2013': 0.478, '2014': 0.291, '2015': 0.485, '2016': 0.314}
moon_illum               dAUC=-0.0000 dBrier=-0.0003 auc=0.7086 mcc=0.303 folds={'2012': 0.055, '2013': 0.459, '2014': 0.26, '2015': 0.489, '2016': 0.282}
moon_cos                 dAUC=-0.0000 dBrier=-0.0003 auc=0.7086 mcc=0.303 folds={'2012': 0.055, '2013': 0.459, '2014': 0.26, '2015': 0.489, '2016': 0.282}
tide_low_d               dAUC=-0.0001 dBrier=+0.0002 auc=0.7086 mcc=0.316 folds={'2012': 0.0, '2013': 0.461, '2014': 0.288, '2015': 0.505, '2016': 0.296}
tide_high_d              dAUC=-0.0001 dBrier=+0.0000 auc=0.7085 mcc=0.322 folds={'2012': 0.0, '2013': 0.467, '2014': 0.286, '2015': 0.501, '2016': 0.307}
tide_range_d             dAUC=-0.0002 dBrier=+0.0002 auc=0.7085 mcc=0.318 folds={'2012': 0.0, '2013': 0.475, '2014': 0.288, '2015': 0.497, '2016': 0.296}
tide_range_chg           dAUC=-0.0003 dBrier=-0.0000 auc=0.7084 mcc=0.316 folds={'2012': 0.0, '2013': 0.469, '2014': 0.294, '2015': 0.485, '2016': 0.289}
tide_range_d1            dAUC=-0.0003 dBrier=+0.0002 auc=0.7084 mcc=0.320 folds={'2012': 0.0, '2013': 0.472, '2014': 0.288, '2015': 0.505, '2016': 0.303}
weekend                  dAUC=-0.0006 dBrier=+0.0003 auc=0.7081 mcc=0.311 folds={'2012': 0.0, '2013': 0.447, '2014': 0.305, '2015': 0.481, '2016': 0.286}
cd_upw_d                 dAUC=-0.0006 dBrier=+0.0001 auc=0.7081 mcc=0.318 folds={'2012': 0.0, '2013': 0.48, '2014': 0.294, '2015': 0.489, '2016': 0.293}
fc_swell_s               dAUC=-0.0007 dBrier=+0.0002 auc=0.7080 mcc=0.318 folds={'2012': 0.0, '2013': 0.465, '2014': 0.294, '2015': 0.489, '2016': 0.306}
cd_wind_south_3          dAUC=-0.0007 dBrier=+0.0015 auc=0.7079 mcc=0.319 folds={'2012': -0.035, '2013': 0.483, '2014': 0.28, '2015': 0.493, '2016': 0.31}
moon_sin                 dAUC=-0.0011 dBrier=+0.0002 auc=0.7076 mcc=0.314 folds={'2012': 0.0, '2013': 0.476, '2014': 0.262, '2015': 0.513, '2016': 0.303}
fc_swell_ft              dAUC=-0.0013 dBrier=+0.0002 auc=0.7074 mcc=0.309 folds={'2012': 0.0, '2013': 0.462, '2014': 0.28, '2015': 0.493, '2016': 0.289}
mf_swell_west            dAUC=-0.0013 dBrier=+0.0003 auc=0.7074 mcc=0.308 folds={'2012': 0.0, '2013': 0.459, '2014': 0.295, '2015': 0.493, '2016': 0.275}
cd_swell_south_7         dAUC=-0.0014 dBrier=-0.0002 auc=0.7073 mcc=0.316 folds={'2012': 0.0, '2013': 0.469, '2014': 0.276, '2015': 0.486, '2016': 0.31}
mf_swell_south           dAUC=-0.0015 dBrier=+0.0009 auc=0.7072 mcc=0.313 folds={'2012': 0.0, '2013': 0.469, '2014': 0.286, '2015': 0.493, '2016': 0.282}
cd_upw_30                dAUC=-0.0019 dBrier=+0.0003 auc=0.7067 mcc=0.321 folds={'2012': 0.0, '2013': 0.475, '2014': 0.318, '2015': 0.497, '2016': 0.293}
cd_swell_south_d         dAUC=-0.0022 dBrier=+0.0013 auc=0.7065 mcc=0.309 folds={'2012': 0.0, '2013': 0.439, '2014': 0.293, '2015': 0.493, '2016': 0.282}
cd_upw_3                 dAUC=-0.0023 dBrier=+0.0005 auc=0.7064 mcc=0.313 folds={'2012': 0.0, '2013': 0.491, '2014': 0.253, '2015': 0.493, '2016': 0.3}
cd_swell_south_14        dAUC=-0.0024 dBrier=-0.0007 auc=0.7063 mcc=0.306 folds={'2012': -0.035, '2013': 0.512, '2014': 0.293, '2015': 0.474, '2016': 0.23}
cd_swell_south_14        dAUC=-0.0024 dBrier=-0.0007 auc=0.7063 mcc=0.306 folds={'2012': -0.035, '2013': 0.512, '2014': 0.293, '2015': 0.474, '2016': 0.23}
mf_wind_max              dAUC=-0.0025 dBrier=+0.0009 auc=0.7061 mcc=0.315 folds={'2012': 0.0, '2013': 0.462, '2014': 0.294, '2015': 0.489, '2016': 0.3}
cd_wind_14_anom          dAUC=-0.0031 dBrier=+0.0028 auc=0.7055 mcc=0.318 folds={'2012': 0.0, '2013': 0.465, '2014': 0.262, '2015': 0.505, '2016': 0.314}
mf_seas                  dAUC=-0.0033 dBrier=+0.0014 auc=0.7054 mcc=0.308 folds={'2012': 0.0, '2013': 0.462, '2014': 0.294, '2015': 0.477, '2016': 0.293}
fc_wind_kt               dAUC=-0.0033 dBrier=+0.0011 auc=0.7054 mcc=0.316 folds={'2012': 0.0, '2013': 0.439, '2014': 0.3, '2015': 0.493, '2016': 0.303}
cd_upw_7                 dAUC=-0.0033 dBrier=+0.0009 auc=0.7053 mcc=0.312 folds={'2012': 0.0, '2013': 0.481, '2014': 0.282, '2015': 0.477, '2016': 0.296}
cd_swell_7               dAUC=-0.0034 dBrier=+0.0031 auc=0.7053 mcc=0.315 folds={'2012': 0.0, '2013': 0.455, '2014': 0.28, '2015': 0.501, '2016': 0.286}
cd_wind_offshore_14      dAUC=-0.0034 dBrier=+0.0001 auc=0.7052 mcc=0.326 folds={'2012': 0.0, '2013': 0.476, '2014': 0.346, '2015': 0.489, '2016': 0.296}
mf_gust                  dAUC=-0.0037 dBrier=+0.0017 auc=0.7050 mcc=0.310 folds={'2012': 0.0, '2013': 0.417, '2014': 0.294, '2015': 0.497, '2016': 0.3}
cd_wind_14               dAUC=-0.0038 dBrier=+0.0019 auc=0.7049 mcc=0.309 folds={'2012': 0.0, '2013': 0.469, '2014': 0.263, '2015': 0.509, '2016': 0.279}
cd_wind_30               dAUC=-0.0048 dBrier=+0.0041 auc=0.7039 mcc=0.317 folds={'2012': 0.0, '2013': 0.0, '2014': 0.288, '2015': 0.517, '2016': 0.272}
cd_sws_60_anom           dAUC=-0.0053 dBrier=-0.0092 auc=0.7034 mcc=0.295 folds={'2012': 0.283, '2013': 0.357, '2014': 0.237, '2015': 0.438, '2016': 0.082}
cd_wind_south_14         dAUC=-0.0064 dBrier=-0.0003 auc=0.7023 mcc=0.320 folds={'2012': 0.0, '2013': 0.474, '2014': 0.261, '2015': 0.509, '2016': 0.31}
cd_wind_30_anom          dAUC=-0.0078 dBrier=+0.0063 auc=0.7009 mcc=0.326 folds={'2012': 0.0, '2013': 0.0, '2014': 0.297, '2015': 0.501, '2016': 0.307}
cd_sws_30_anom           dAUC=-0.0078 dBrier=-0.0027 auc=0.7008 mcc=0.275 folds={'2012': 0.0, '2013': 0.483, '2014': 0.076, '2015': 0.437, '2016': 0.337}
cd_swell_14              dAUC=-0.0106 dBrier=+0.0065 auc=0.6981 mcc=0.333 folds={'2012': 0.0, '2013': 0.0, '2014': 0.294, '2015': 0.501, '2016': 0.335}
cd_upw_60_anom           dAUC=-0.0107 dBrier=+0.0060 auc=0.6980 mcc=0.303 folds={'2012': 0.0, '2013': 0.0, '2014': 0.283, '2015': 0.478, '2016': 0.286}
cd_wind_60_anom          dAUC=-0.0228 dBrier=+0.0116 auc=0.6858 mcc=0.305 folds={'2012': 0.0, '2013': 0.0, '2014': 0.252, '2015': 0.502, '2016': 0.303}
cd_upw_90_anom           dAUC=-0.0272 dBrier=+0.0090 auc=0.6815 mcc=0.320 folds={'2012': 0.0, '2013': 0.215, '2014': 0.28, '2015': 0.493, '2016': 0.314}
cd_wind_90_anom          dAUC=-0.0341 dBrier=+0.0153 auc=0.6746 mcc=0.256 folds={'2012': 0.0, '2013': 0.171, '2014': 0.264, '2015': 0.501, '2016': 0.279}
cd_swell_30_anom         dAUC=-0.0387 dBrier=+0.0141 auc=0.6699 mcc=0.312 folds={'2012': -0.182, '2013': 0.0, '2014': 0.294, '2015': 0.501, '2016': 0.334}
cd_swell_30              dAUC=-0.0418 dBrier=+0.0126 auc=0.6668 mcc=0.317 folds={'2012': -0.161, '2013': 0.0, '2014': 0.289, '2015': 0.497, '2016': 0.338}
cd_swell_90_anom         dAUC=-0.0582 dBrier=+0.0129 auc=0.6504 mcc=0.313 folds={'2012': -0.106, '2013': 0.0, '2014': 0.294, '2015': 0.493, '2016': 0.351}
cd_swell_60_anom         dAUC=-0.0672 dBrier=+0.0194 auc=0.6414 mcc=0.284 folds={'2012': -0.239, '2013': 0.0, '2014': 0.288, '2015': 0.489, '2016': 0.352}
