configurations scored: 24
B_C0.03_fixed:0.35               nf=28 mcc=0.655 auc=0.891 brier=0.1196 B1=0.611 folds={'2012': 0.54, '2013': 0.497, '2014': 0.811}
B_C0.03_fixed:0.4                nf=28 mcc=0.642 auc=0.891 brier=0.1196 B1=0.611 folds={'2012': 0.52, '2013': 0.478, '2014': 0.801}
B_C0.01_fixed:0.35               nf=28 mcc=0.641 auc=0.891 brier=0.1206 B1=0.611 folds={'2012': 0.514, '2013': 0.474, '2014': 0.805}
B+WT_C0.03_fixed:0.35            nf=31 mcc=0.643 auc=0.890 brier=0.1196 B1=0.611 folds={'2012': 0.533, '2013': 0.452, '2014': 0.811}
B+WT_C0.03_fixed:0.4             nf=31 mcc=0.645 auc=0.890 brier=0.1196 B1=0.611 folds={'2012': 0.512, '2013': 0.478, '2014': 0.811}
B+WT_C0.01_fixed:0.35            nf=31 mcc=0.646 auc=0.890 brier=0.1202 B1=0.611 folds={'2012': 0.514, '2013': 0.474, '2014': 0.816}
B+WT2_C0.03_fixed:0.35           nf=34 mcc=0.634 auc=0.890 brier=0.1202 B1=0.611 folds={'2012': 0.514, '2013': 0.459, '2014': 0.799}
B+WT2_C0.03_fixed:0.4            nf=34 mcc=0.622 auc=0.890 brier=0.1202 B1=0.611 folds={'2012': 0.461, '2013': 0.478, '2014': 0.795}
B+WT2_C0.01_fixed:0.35           nf=34 mcc=0.651 auc=0.891 brier=0.1201 B1=0.611 folds={'2012': 0.537, '2013': 0.474, '2014': 0.81}
B+BAIT_C0.03_fixed:0.35          nf=32 mcc=0.623 auc=0.884 brier=0.1222 B1=0.611 folds={'2012': 0.468, '2013': 0.45, '2014': 0.816}
B+BAIT_C0.03_fixed:0.4           nf=32 mcc=0.605 auc=0.884 brier=0.1222 B1=0.611 folds={'2012': 0.42, '2013': 0.454, '2014': 0.799}
B+BAIT_C0.01_fixed:0.35          nf=32 mcc=0.634 auc=0.887 brier=0.1229 B1=0.611 folds={'2012': 0.491, '2013': 0.459, '2014': 0.817}
B+MF_C0.03_fixed:0.35            nf=35 mcc=0.637 auc=0.883 brier=0.1224 B1=0.611 folds={'2012': 0.509, '2013': 0.459, '2014': 0.811}
B+MF_C0.03_fixed:0.4             nf=35 mcc=0.627 auc=0.883 brier=0.1224 B1=0.611 folds={'2012': 0.505, '2013': 0.425, '2014': 0.801}
B+MF_C0.01_fixed:0.35            nf=35 mcc=0.639 auc=0.886 brier=0.1226 B1=0.611 folds={'2012': 0.506, '2013': 0.474, '2014': 0.805}
B+WT+BAIT_C0.03_fixed:0.35       nf=35 mcc=0.621 auc=0.883 brier=0.1217 B1=0.611 folds={'2012': 0.468, '2013': 0.438, '2014': 0.816}
B+WT+BAIT_C0.03_fixed:0.4        nf=35 mcc=0.605 auc=0.883 brier=0.1217 B1=0.611 folds={'2012': 0.405, '2013': 0.462, '2014': 0.805}
B+WT+BAIT_C0.01_fixed:0.35       nf=35 mcc=0.632 auc=0.886 brier=0.1220 B1=0.611 folds={'2012': 0.491, '2013': 0.459, '2014': 0.81}
B+WT+BAIT+MF_C0.03_fixed:0.35    nf=42 mcc=0.610 auc=0.874 brier=0.1245 B1=0.611 folds={'2012': 0.441, '2013': 0.438, '2014': 0.811}
B+WT+BAIT+MF_C0.03_fixed:0.4     nf=42 mcc=0.602 auc=0.874 brier=0.1245 B1=0.611 folds={'2012': 0.409, '2013': 0.412, '2014': 0.811}
B+WT+BAIT+MF_C0.01_fixed:0.35    nf=42 mcc=0.634 auc=0.881 brier=0.1238 B1=0.611 folds={'2012': 0.481, '2013': 0.467, '2014': 0.817}
B+WT+ENVI_C0.03_fixed:0.35       nf=33 mcc=0.599 auc=0.886 brier=0.1254 B1=0.611 folds={'2012': 0.388, '2013': 0.452, '2014': 0.811}
B+WT+ENVI_C0.03_fixed:0.4        nf=33 mcc=0.602 auc=0.886 brier=0.1254 B1=0.611 folds={'2012': 0.364, '2013': 0.478, '2014': 0.812}
B+WT+ENVI_C0.01_fixed:0.35       nf=33 mcc=0.643 auc=0.888 brier=0.1237 B1=0.611 folds={'2012': 0.494, '2013': 0.482, '2014': 0.816}
