configurations scored: 20
B+WTC_C0.03_fixed:0.35           nf=29 mcc=0.648 auc=0.891 brier=0.1186 B1=0.611 folds={'2012': 0.534, '2013': 0.452, '2014': 0.822}
B+WTC_C0.03_fixed:0.4            nf=29 mcc=0.650 auc=0.891 brier=0.1186 B1=0.611 folds={'2012': 0.522, '2013': 0.473, '2014': 0.818}
B+WTC_C0.1_fixed:0.35            nf=29 mcc=0.630 auc=0.888 brier=0.1208 B1=0.611 folds={'2012': 0.498, '2013': 0.446, '2014': 0.811}
B+WTC_C0.01_fixed:0.35           nf=29 mcc=0.647 auc=0.891 brier=0.1197 B1=0.611 folds={'2012': 0.516, '2013': 0.474, '2014': 0.816}
B+TI_C0.03_fixed:0.35            nf=30 mcc=0.618 auc=0.890 brier=0.1220 B1=0.611 folds={'2012': 0.448, '2013': 0.445, '2014': 0.822}
B+TI_C0.03_fixed:0.4             nf=30 mcc=0.619 auc=0.890 brier=0.1220 B1=0.611 folds={'2012': 0.426, '2013': 0.478, '2014': 0.811}
B+TI_C0.1_fixed:0.35             nf=30 mcc=0.597 auc=0.885 brier=0.1249 B1=0.611 folds={'2012': 0.393, '2013': 0.439, '2014': 0.811}
B+TI_C0.01_fixed:0.35            nf=30 mcc=0.634 auc=0.891 brier=0.1223 B1=0.611 folds={'2012': 0.481, '2013': 0.467, '2014': 0.816}
B+WTC+TI_C0.03_fixed:0.35        nf=31 mcc=0.623 auc=0.891 brier=0.1215 B1=0.611 folds={'2012': 0.464, '2013': 0.445, '2014': 0.822}
B+WTC+TI_C0.03_fixed:0.4         nf=31 mcc=0.629 auc=0.891 brier=0.1215 B1=0.611 folds={'2012': 0.459, '2013': 0.473, '2014': 0.811}
B+WTC+TI_C0.1_fixed:0.35         nf=31 mcc=0.604 auc=0.886 brier=0.1244 B1=0.611 folds={'2012': 0.412, '2013': 0.446, '2014': 0.811}
B+WTC+TI_C0.01_fixed:0.35        nf=31 mcc=0.637 auc=0.891 brier=0.1217 B1=0.611 folds={'2012': 0.484, '2013': 0.474, '2014': 0.816}
B+TI+LOC_C0.03_fixed:0.35        nf=31 mcc=0.591 auc=0.887 brier=0.1261 B1=0.611 folds={'2012': 0.336, '2013': 0.459, '2014': 0.822}
B+TI+LOC_C0.03_fixed:0.4         nf=31 mcc=0.587 auc=0.887 brier=0.1261 B1=0.611 folds={'2012': 0.318, '2013': 0.478, '2014': 0.806}
B+TI+LOC_C0.1_fixed:0.35         nf=31 mcc=0.569 auc=0.875 brier=0.1305 B1=0.611 folds={'2012': 0.301, '2013': 0.432, '2014': 0.811}
B+TI+LOC_C0.01_fixed:0.35        nf=31 mcc=0.608 auc=0.890 brier=0.1249 B1=0.611 folds={'2012': 0.384, '2013': 0.474, '2014': 0.816}
R2D1+TI_C0.03_fixed:0.35         nf=17 mcc=0.612 auc=0.893 brier=0.1210 B1=0.611 folds={'2012': 0.467, '2013': 0.449, '2014': 0.799}
R2D1+TI_C0.03_fixed:0.4          nf=17 mcc=0.602 auc=0.893 brier=0.1210 B1=0.611 folds={'2012': 0.38, '2013': 0.474, '2014': 0.806}
R2D1+TI_C0.1_fixed:0.35          nf=17 mcc=0.594 auc=0.889 brier=0.1245 B1=0.611 folds={'2012': 0.4, '2013': 0.442, '2014': 0.811}
R2D1+TI_C0.01_fixed:0.35         nf=17 mcc=0.632 auc=0.893 brier=0.1213 B1=0.611 folds={'2012': 0.472, '2013': 0.489, '2014': 0.81}
