configurations scored: 12
B01y_ctrl            nf=24 mcc=0.626 auc=0.891 brier=0.1253 B1=0.606 folds={'2012': 0.531, '2013': 0.455, '2014': 0.823, '2015': 0.544, '2016': 0.473}
B01y_G1              nf=28 mcc=0.616 auc=0.887 brier=0.1278 B1=0.606 folds={'2012': 0.531, '2013': 0.455, '2014': 0.763, '2015': 0.578, '2016': 0.479}
B01y_G2              nf=35 mcc=0.605 auc=0.878 brier=0.1314 B1=0.606 folds={'2012': 0.531, '2013': 0.455, '2014': 0.767, '2015': 0.529, '2016': 0.488}
B01y_G3              nf=28 mcc=0.620 auc=0.889 brier=0.1281 B1=0.606 folds={'2012': 0.531, '2013': 0.455, '2014': 0.783, '2015': 0.597, '2016': 0.465}
B01y_G2+G3           nf=39 mcc=0.612 auc=0.878 brier=0.1318 B1=0.606 folds={'2012': 0.531, '2013': 0.455, '2014': 0.779, '2015': 0.558, '2016': 0.494}
B01y_G1+GI           nf=32 mcc=0.622 auc=0.883 brier=0.1279 B1=0.606 folds={'2012': 0.531, '2013': 0.455, '2014': 0.792, '2015': 0.56, '2016': 0.486}
B01m_p40_ctrl        nf=24 mcc=0.627 auc=0.893 brier=0.1231 B1=0.606 folds={'2012': 0.513, '2013': 0.47, '2014': 0.816, '2015': 0.561, '2016': 0.482}
B01m_p40_G1          nf=28 mcc=0.630 auc=0.892 brier=0.1237 B1=0.606 folds={'2012': 0.513, '2013': 0.47, '2014': 0.822, '2015': 0.574, '2016': 0.476}
B01m_p40_G2          nf=35 mcc=0.609 auc=0.890 brier=0.1250 B1=0.606 folds={'2012': 0.513, '2013': 0.477, '2014': 0.788, '2015': 0.489, '2016': 0.479}
B01m_p40_G3          nf=28 mcc=0.623 auc=0.893 brier=0.1240 B1=0.606 folds={'2012': 0.513, '2013': 0.477, '2014': 0.794, '2015': 0.565, '2016': 0.482}
B01m_p40_G2+G3       nf=39 mcc=0.614 auc=0.890 brier=0.1254 B1=0.606 folds={'2012': 0.513, '2013': 0.484, '2014': 0.782, '2015': 0.514, '2016': 0.494}
B01m_p40_G1+GI       nf=32 mcc=0.631 auc=0.889 brier=0.1244 B1=0.606 folds={'2012': 0.513, '2013': 0.47, '2014': 0.817, '2015': 0.57, '2016': 0.502}
